id,name,Information
11,과학관,명진관 뒤편에 자리한 건물이야. 이과대 학생들이 주로 이용하는 공간이야.
12,원흥관,"대부분의 공과대학이 위치한 6층 건물이야. 3층에는 편의점과 캡스톤 디자인 프로젝트, 창업교육 및 사업화 등을 위한 용도로 쓰이는 아이스페이스를 이용할 수 있어."
14,혜화관,"경찰사법대학과 미래융합대학, 한국어교육원이 위치하고 있어 4층에는 만해관으로 가는 구름다리(정각교)가 위치해 있어. 층별 안내도 해줄게!      
· 1층: 혜화관 라운지, 프린터기, 남녀화장실, KB국민은행 및 국민은행 ATM 기기, 카페 ING
· 2층: 프린터기, 고순청 세미나실, 경찰사법대학·미래융합대학 학사운영실, 공용컴퓨터실, 남녀화장실
· 3층: 미래융합세미나실, 남녀화장실
· 4층: 쿱스켓(혜화관점)
· 5층: 한국어교육원 학사운영실, 다르마칼리지·열린전공학부 학사운영실, 열전라운지, 남녀화장실"
15,학림관,"사범대학과 교육대학원·교육서비스과학대학원·미래융합대학원이 위치한 건물로 후문 및 충무로역과 가까워. 층별 안내해줄게!
· B1층: 쿱스켓 편의점(학림관점)
· 1층: 공휴라운지 샘, 프린터기, 무인발급기, 신한은행 365 자동화기기, 유인복사실, 사범대학 학사운영실, 남녀화장실
· 2층: 프린터기, 강의실, 남녀화장실"
16,학생회관,정보문화관 바로 옆에 위치한 건물로 중앙동아리들이 자리하고 있어. 
17,경영관,"사회과학관은 M동, 경영관은 L동으로 구분하고 있지만 둘이 붙어있는 건물이야. 사회과학관은 사회과학대학과 행정대학원이 주로 사용하고 있으며, 경영관은 경영대학과 경영전문대학원(MBA)가 사용하고 있어. 층별안내해줄게!
· B1층: D-Flex, 식당(웰스토리), 베이커리카페(동국커피), 김밥판매점(리김밥), 편의점(이마트24)
· 1층: 비즈마루, 연구회실, 남녀화장실
· 야외: 그루터기 카페
· 2층: 로비, 경영대학 학사운영실, 남녀화장실
· 3층: 강의실, 프린터기, 남녀화장실
· 4층: 강의실, 공용컴퓨터실, 남녀화장실
· 5층: 강의실, 교수 연구실, 동현제 1,2 열람실, 남녀화장실
· 6층: 하늘마루(옥상정원)"
18,사회과학관,"사회과학관은 M동, 경영관은 L동으로 구분하고 있지만 둘이 붙어있는 건물이야. 사회과학관은 사회과학대학과 행정대학원이 주로 사용하고 있으며, 경영관은 경영대학과 경영전문대학원(MBA)가 사용하고 있어. 층별안내해줄게!
· 2층: 능금사랑 열람실, I-SPACE, 프린터기, 유인복사실, 신한은행 365 자동화기기, 공용컴퓨터실, 남녀화장실
· 3층: 무인발급기, 사회과학대학 학사운영실, 남녀화장실"
19,"문화관(국제센터, 이해랑예술극장)","예술대학 건물로 연극학부와 영화영상학과, 미술학부가 함께 사용해. 지하에는 이해랑예술극장이 운영 중이며 2층에는 대각전이 있어. 층별 안내해줄게!
· B1층: 남녀화장실
· 1층: 쿱스켓 편의점(문화관점), 덕암세미나실, 프린터기, 무인발급기, 예술대학 학사운영실, 남녀화장실
· 2층: 공용컴퓨터실, 학명세미나실, 남녀화장실
· 4층: 초허당세미나실"
20,학술관,"평생교육프로그램을 운영하는 미래융합교육원이 주로 사용하는 건물이야. 층별 안내해줄게!
· B1층: 남녀화장실
· 1층: 학술관 라운지, 프린터기, 남녀화장실"
21,다향관,최근에 리모델링을 해서 실습실로 이용할 수 있는 건물이야! 각 책상마다 노트북이 설치되어 있으니 수업 때 유용하게 사용하길 바래!
22,금강관,"체육관 옆에 위치한 운동부 숙소건물이야. 현재 야구부, 농구부, 축구부 학생들이 합숙하고 있어."
23,계산관A,이계산 동문의 기부금으로 건립된 ‘계산고시학사’가 있던 건물로 A동과 B동으로 구성되어있어.
24,계산관B,이계산 동문의 기부금으로 건립된 ‘계산고시학사’가 있던 건물로 A동과 B동으로 구성되어있어.
25,정보문화관P,"교양대학인 다르마칼리지가 주로 사용하는 건물이야. 본관인 P동과 별관인 Q동으로 이루어져 있어. 연계전공학생들이 많이 이용하기도 해. 층별 안내해줄게!
· 3층: 컴포즈커피, 프린터기, 유인복사실, 남녀화장실
· 4층: 첨단융합대학 학사운영실, 남녀화장실"
26,정보문화관Q,"교양대학인 다르마칼리지가 주로 사용하는 건물이야. 본관인 P동과 별관인 Q동으로 이루어져 있어. 연계전공학생들이 많이 이용하기도 해. 층별 안내해줄게!
2층: 공용컴퓨터실, 남녀화장실"
27,식물원,
28,반야관,
29,만해광장,만해광장이란 이름은 1회 졸업생이신 만해 한용운 스님의 호에서 따왔어. 농구 코트가 있어 많은 학생들이 농구를 즐기는 공간으로 학교 축제 때나 그 밖의 행사에서 광장으로 사용되고 있지.
30,조소실습장,
31,대운동장,"2014년 인조 잔디와 우레탄 트랙이 조성되어 재학생들의 축구장으로 주로 사용되고 있으며, 대동제 공연 등도 이루어지는 공간이야."
32,체육관,한국대학농구리그에서 우리대학 농구부 홈경기장으로 사용되고 있는 실내체육관이야. 체육관 옆에는 운동부 숙소인 금강관이 있어.
33,남산학사(기숙사),"재학생을 위한 기숙사로 2012년 2월 개관하였어. 체력단련실, Study Zone 등의 부대시설을 갖추고 있으며, 식당, 카페, 편의점, 세탁실 등의 편의시설도 우수해. 750여명의 재학생들이 생활하고 있지."
34,신공학관,"신공학관은 2012년 2월 남산학사와 함께 개관하였어. 이공계 학과의 교육 및 연구공간 확대로 대학발전에 큰 역할을 하고 있지. 전자전기공학부, 컴퓨터정보통신공학부 등 공과대학의 여러 학과가 원흥관에서 이주하였어.

1층에는 편의점, 카페, 식당이 위치해 있고 3층부터 9층까지 각 학과의 강의실, 실습실, 연구실 등이 있어. 건물 내부에는 3개의 엘리베이터가 가동 중이며 9층 입구에는 중앙도서관과 팔정도로 이어지는 길이 있어!"
35,충무로영상센터,
36,혜화별관,
37,원흥별관,
38,가운로니(기념품카페),
39,"가든누리(일반식당, 레스토랑)",
40,정문,
41,혜화문(중문),
42,후문,
43,충무로역 1번출구,
44,동대입구역 6번출구,
45,메가MGC커피 중구필동3가점,
46,필동함박 충무로 본점,
47,옥된장 충무로역점,
48,동막골,
49,하얀집 3호점,
50,술국집,
51,상록원,"과학관 뒤에 위치하고 있는 식당 전용 3층 건물이야. 1층에는 분식코너와 솥앤누들, 버거킹이 있으며, 2층에는 생활협동조합 사무실과 학생식당이 3층에는 교직원식당이 운영 중이지. 상록원 옆에는 남산산책로와 연결되는 등산로가 있어 학생들 외에도 인근 주민들도 상록원을 많이 이용해."
